ID,DATE,COD_ACCOUNT,ACCOUNT,Short_CLASS,CLASS,REVENUE/EXPENSES,BUDGET
1,1/31/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"70,000 "
2,1/31/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"80,000 "
3,1/31/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"4,000 "
4,1/31/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"6,000 "
5,1/31/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"13,500 "
6,1/31/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"11,000 "
7,1/31/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880 
8,1/31/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"1,100 "
9,1/31/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275 
10,1/31/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,500 "
11,1/31/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
12,1/31/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
13,1/31/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
14,1/31/2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,"2,500 "
15,1/31/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,500 
16,1/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,500 "
17,1/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"1,000 "
18,1/31/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
19,1/31/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"15,000 "
20,1/31/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"6,500 "
21,1/31/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
22,1/31/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
23,1/31/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
24,2/28/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"72,500 "
25,2/28/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"80,000 "
26,2/28/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"4,000 "
27,2/28/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"6,100 "
28,2/28/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"13,700 "
29,2/28/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"11,000 "
30,2/28/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880 
31,2/28/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"1,100 "
32,2/28/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275 
33,2/28/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,600 "
34,2/28/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
35,2/28/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
36,2/28/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
37,2/28/2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,"2,600 "
38,2/28/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,550 
39,2/28/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,500 "
40,2/28/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"1,000 "
