ID,DATE,COD_ACCOUNT,ACCOUNT,Short_CLASS,CLASS,TRANSACTION_TYPE,NAME,MEMO/DESCRIPTION,REVENUE/EXPENSES,AMOUNT
1,1/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,January SaaS Subscription,REVENUE,"45,000 "
2,1/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,January SaaS Subscription,REVENUE,"38,000 "
3,1/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"75,000 "
4,1/5/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - January,EXPENSES,"2,000 "
5,1/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"1,500 "
6,1/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"5,000 "
7,1/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,"8,500 "
8,1/15/2022,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"6,500 "
9,1/15/2022,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"4,500 "
10,1/20/2022,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,"2,500 "
11,1/25/2022,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,500 "
12,1/31/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,500 
13,1/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"1,500 "
14,2/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,February SaaS Subscription,REVENUE,"45,500 "
15,2/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,February SaaS Subscription,REVENUE,"38,500 "
16,2/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"76,000 "
17,2/5/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - February,EXPENSES,"2,050 "
18,2/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"1,520 "
19,2/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"5,100 "
20,2/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,"8,600 "
21,2/15/2022,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"6,550 "
22,2/15/2022,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"4,550 "
23,2/20/2022,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,"2,600 "
24,2/25/2022,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,600 "
25,2/28/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,550 
26,2/28/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"1,550 "
27,3/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,March SaaS Subscription,REVENUE,"46,000 "
28,3/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,March SaaS Subscription,REVENUE,"39,000 "
29,3/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"77,000 "
30,3/5/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - March,EXPENSES,"2,100 "
31,3/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"1,540 "
32,3/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"5,200 "
33,3/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,"8,700 "
34,3/15/2022,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"6,600 "
35,3/15/2022,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"4,600 "
36,3/20/2022,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,"2,650 "
37,3/25/2022,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,700 "
38,3/31/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,600 
39,3/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"1,600 "
40,4/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,April SaaS Subscription,REVENUE,"46,500 "
41,4/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,April SaaS Subscription,REVENUE,"39,500 "
42,4/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"78,000 "
43,4/5/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - April,EXPENSES,"2,150 "
44,4/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"1,560 "
45,4/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"5,300 "
